정보공시 학교코드,시도교육청,교육지원청,지역,학교명,설립구분,점검영역_총개수,미관리_영역수,관리_영역수,최근점검일,평균점검일,점검경과일_평균,점검경과일_최근,학교급,환경_부적합_수,환경_미실시_수,환경_위험항목_수,학생수,환경위험_log,미관리_norm,환경위험_norm,경과일_norm,위험도_점수,위험군,우선순위_점수,지역분류
S150006029,경상북도교육청,경상북도경산교육지원청,경상북도 경산시,사동초등학교,공립,6,0,6,2024-12-04,2024-12-04 00:00:00.000000,209.0,209.0,초,0.0,7.0,7.0,547.0,2.0794415416798357,0.0,0.5495077527409008,0.2362637362637363,22.150239356933245,고위험,82.81488427347733,시(중소도시)
S130001146,전북특별자치도교육청,전북특별자치도익산교육지원청,전북특별자치도 익산시,진경여자중학교,사립,6,1,5,2025-02-22,2024-12-23 09:36:00.000000,189.0,129.0,중,0.0,8.0,8.0,36.0,2.1972245773362196,0.2,0.5806327879665873,0.18131868131868134,32.243299585314965,고위험,82.80729758461452,시(중소도시)
S130001412,전북특별자치도교육청,전북특별자치도전주교육지원청,전북특별자치도 전주시 덕진구,전주중앙중학교,공립,6,0,6,2024-12-09,2024-12-09 00:00:00.000000,204.0,204.0,중,0.0,8.0,8.0,405.0,2.1972245773362196,0.0,0.5806327879665873,0.22252747252747251,22.943849035864417,고위험,82.79347655638176,구(대도시)
S070000195,울산광역시교육청,울산광역시강남교육지원청,울산광역시 남구,삼호초등학교,공립,6,0,6,2025-02-28,2025-02-07 16:00:00.000000,143.0,123.0,초,0.0,15.0,15.0,197.0,2.772588722239781,0.0,0.7326770036545345,0.05494505494505497,25.112407054665574,고위험,82.78719818079409,구(대도시)
S070000153,울산광역시교육청,울산광역시강남교육지원청,울산광역시 남구,개운초등학교,공립,6,0,6,2025-02-27,2025-01-20 04:00:00.000000,161.0,124.0,초,0.0,10.0,10.0,445.0,2.3978952727983707,0.0,0.6336614981727328,0.10439560439560441,22.685554714425457,고위험,82.78718560857439,구(대도시)
S100001092,강원특별자치도교육청,강원특별자치도양구교육지원청,강원특별자치도 양구군,방산중학교,공립,6,2,4,2025-02-28,2025-02-28 00:00:00.000000,123.0,123.0,중,0.0,8.0,8.0,12.0,2.1972245773362196,0.4,0.5806327879665873,0.0,39.16088200289739,고위험,82.78388618049739,군(농촌)
S090006123,경기도교육청,경기도시흥교육지원청,경기도 시흥시,배곧라온초등학교,공립,6,0,6,2025-02-26,2025-02-12 12:00:00.000000,138.0,125.0,초,0.0,8.0,8.0,1471.0,2.1972245773362196,0.0,0.5806327879665873,0.04120879120879123,19.861431453446833,고위험,82.78061527263011,시(중소도시)
S090005027,경기도교육청,경기도구리남양주교육지원청,경기도 남양주시,장내초등학교,공립,6,0,6,2025-02-25,2024-12-08 12:00:00.000000,204.0,126.0,초,0.0,8.0,8.0,404.0,2.1972245773362196,0.0,0.5806327879665873,0.22252747252747251,22.943849035864417,고위험,82.76890345630812,시(중소도시)
S010005289,서울특별시교육청,서울특별시북부교육지원청,서울특별시 도봉구,효문중학교,공립,6,0,6,2025-02-19,2025-01-24 20:00:00.000000,157.0,132.0,중,0.0,12.0,12.0,284.0,2.5649493574615367,0.0,0.6778067712229614,0.09340659340659341,23.955535538269814,고위험,82.76265882314267,구(대도시)
S150003640,경상북도교육청,경상북도포항교육지원청,경상북도 포항시 북구,창포초등학교,공립,6,0,6,2025-02-05,2025-02-04 00:00:00.000000,147.0,146.0,초,0.0,10.0,10.0,569.0,2.3978952727983707,0.0,0.6336614981727328,0.06593406593406592,22.031708560579304,고위험,82.74834021018418,구(대도시)
